HostName,TimeStamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
bigdata-proj-m,59,3,9.28,0.00,3.09,1.03,0.00,86.60
bigdata-proj-m,60,all,13.82,0.00,4.02,0.75,0.00,81.41
bigdata-proj-m,60,0,11.88,0.00,5.94,0.00,0.00,82.18
bigdata-proj-m,60,1,16.00,0.00,4.00,1.00,0.00,79.00
bigdata-proj-m,60,2,14.58,0.00,1.04,0.00,0.00,84.38
bigdata-proj-m,60,3,13.86,0.00,4.95,0.99,0.00,80.20
bigdata-proj-m,61,all,12.44,0.00,5.84,0.76,0.00,80.96
bigdata-proj-m,61,0,13.13,0.00,11.11,1.01,0.00,74.75
bigdata-proj-m,61,1,15.15,0.00,4.04,1.01,0.00,79.80
bigdata-proj-m,61,2,10.20,0.00,3.06,1.02,0.00,85.71
bigdata-proj-m,61,3,10.20,0.00,4.08,1.02,0.00,84.69
bigdata-proj-m,62,all,18.62,0.00,7.14,0.77,0.00,73.47
bigdata-proj-m,62,0,18.37,0.00,5.10,0.00,0.00,76.53
bigdata-proj-m,62,1,17.02,0.00,4.26,0.00,0.00,78.72
bigdata-proj-m,62,2,20.41,0.00,13.27,0.00,0.00,66.33
bigdata-proj-m,62,3,19.39,0.00,6.12,0.00,0.00,74.49
bigdata-proj-m,63,all,12.37,0.00,3.61,0.52,0.00,83.51
bigdata-proj-m,63,0,12.37,0.00,4.12,1.03,0.00,82.47
bigdata-proj-m,63,1,11.34,0.00,3.09,1.03,0.00,84.54
bigdata-proj-m,63,2,12.12,0.00,3.03,1.01,0.00,83.84
bigdata-proj-m,63,3,13.54,0.00,4.17,1.04,0.00,81.25
bigdata-proj-m,64,all,11.25,0.00,3.84,0.77,0.00,84.14
bigdata-proj-m,64,0,10.10,0.00,6.06,1.01,0.00,82.83
bigdata-proj-m,64,1,9.28,0.00,2.06,1.03,0.00,87.63
bigdata-proj-m,64,2,10.31,0.00,3.09,1.03,0.00,85.57
bigdata-proj-m,64,3,15.31,0.00,2.04,1.02,0.00,81.63
bigdata-proj-m,65,all,11.56,0.00,3.77,0.50,0.00,84.17
bigdata-proj-m,65,0,11.22,0.00,3.06,0.00,0.00,85.71
bigdata-proj-m,65,1,12.75,0.00,4.90,0.00,0.00,82.35
bigdata-proj-m,65,2,8.08,0.00,6.06,0.00,0.00,85.86
bigdata-proj-m,65,3,13.00,0.00,4.00,1.00,0.00,82.00
bigdata-proj-m,66,all,11.20,0.00,3.56,0.76,0.00,84.48
bigdata-proj-m,66,0,14.85,0.00,3.96,0.99,0.00,80.20
bigdata-proj-m,66,1,10.42,0.00,3.12,0.00,0.00,86.46
bigdata-proj-m,66,2,6.25,0.00,2.08,1.04,0.00,90.62
bigdata-proj-m,66,3,14.14,0.00,3.03,0.00,0.00,82.83
bigdata-proj-m,67,all,21.30,0.00,5.01,0.50,0.00,73.18
bigdata-proj-m,67,0,37.11,0.00,3.09,0.00,0.00,59.79
bigdata-proj-m,67,1,19.00,0.00,2.00,1.00,0.00,78.00
bigdata-proj-m,67,2,15.84,0.00,6.93,0.99,0.00,76.24
bigdata-proj-m,67,3,13.73,0.00,9.80,0.98,0.00,75.49
bigdata-proj-m,68,all,16.41,0.00,4.55,0.76,0.00,78.28
bigdata-proj-m,68,0,13.73,0.00,4.90,0.98,0.00,80.39
bigdata-proj-m,68,1,12.24,0.00,3.06,1.02,0.00,83.67
bigdata-proj-m,68,2,22.22,0.00,2.02,1.01,0.00,74.75
bigdata-proj-m,68,3,17.35,0.00,7.14,0.00,0.00,75.51
bigdata-proj-m,69,all,17.97,0.00,6.51,0.52,0.00,75.00
bigdata-proj-m,69,0,17.89,0.00,6.32,0.00,0.00,75.79
bigdata-proj-m,69,1,18.28,0.00,6.45,0.00,0.00,75.27
bigdata-proj-m,69,2,16.84,0.00,4.21,1.05,0.00,77.89
bigdata-proj-m,69,3,19.39,0.00,7.14,1.02,0.00,72.45
bigdata-proj-m,70,all,9.39,0.00,2.79,0.76,0.00,87.06
bigdata-proj-m,70,0,11.11,0.00,3.03,1.01,0.00,84.85
bigdata-proj-m,70,1,8.91,0.00,2.97,0.99,0.00,87.13
bigdata-proj-m,70,2,10.20,0.00,2.04,0.00,0.00,87.76
bigdata-proj-m,70,3,8.25,0.00,4.12,0.00,0.00,87.63
bigdata-proj-m,71,all,9.62,0.00,3.04,0.51,0.00,86.84
bigdata-proj-m,71,0,8.00,0.00,5.00,1.00,0.00,86.00
bigdata-proj-m,71,1,9.38,0.00,2.08,1.04,0.00,87.50
bigdata-proj-m,71,2,11.00,0.00,3.00,0.00,0.00,86.00
bigdata-proj-m,71,3,8.16,0.00,2.04,1.02,0.00,88.78
bigdata-proj-m,72,all,12.92,0.00,2.33,0.52,0.00,84.24
bigdata-proj-m,72,0,12.37,0.00,2.06,0.00,0.00,85.57
